"State","alcoholConsumptionGallons","alcoholConsumptionLiters","Pop"
"New Hampshire","4.7600","18.0200",1371246
"District of Columbia","3.8500","14.5700",720687
"Delaware","3.7200","14.0800",982895
"Nevada","3.4600","13.1000",3139658
"North Dakota","3.2600","12.3400",761723
"Montana","3.1100","11.7700",1086759
"Vermont","3.0800","11.6600",628061
"Wisconsin","2.9800","11.2800",5851754
"Alaska","2.9400","11.1300",734002
"Idaho","2.9200","11.0500",1826156
"South Dakota","2.8700","10.8600",903027
"Maine","2.8100","10.6400",1345790
"Colorado","2.8100","10.6400",5845526
"Minnesota","2.7700","10.4900",5700671
"Oregon","2.7500","10.4100",4301089
"Wyoming","2.6700","10.1100",567025
"Florida","2.6500","10.0300",21992985
"Hawaii","2.6300","9.9600",1412687
"Louisiana","2.5900","9.8000",4645184
"Rhode Island","2.5700","9.7300",1056161
"Massachusetts","2.5700","9.7300",6976597
"Missouri","2.4900","9.4300",6169270
"Connecticut","2.4500","9.2700",3563077
"Iowa","2.4000","9.0800",3179849
"Pennsylvania","2.3600","8.9300",12820878
"Texas","2.3400","8.8600",29472295
"New Jersey","2.3400","8.8600",8936574
"Michigan","2.3400","8.8600",10045029
"California","2.3300","8.8200",39937489
"Illinois","2.3200","8.7800",12659682
"Arizona","2.3100","8.7400",7378494
"New Mexico","2.2700","8.5900",2096640
"Washington","2.2600","8.5600",7797095
"Nebraska","2.2300","8.4400",1952570
"Mississippi","2.2300","8.4400",2989260
"South Carolina","2.2200","8.4000",5210095
"New York","2.2200","8.4000",19440469
"Indiana","2.1700","8.2100",6745354
"Maryland","2.1500","8.1400",6083116
"Virginia","2.1400","8.1000",8626207
"Tennessee","2.1400","8.1000",6897576
"North Carolina","2.1300","8.0600",10611862
"Ohio","2.0400","7.7200",11747694
"Alabama","2.0100","7.6100",4908621
"Kentucky","1.9800","7.5000",4499692
"Georgia","1.9400","7.3400",10736059
"Kansas","1.9200","7.2700",2910357
"Oklahoma","1.8800","7.1200",3954821
"Arkansas","1.8000","6.8100",3038999
"West Virginia","1.7600","6.6600",1778070
"Utah","1.3400","5.0700",3282115